Tm,Week,Percent Capacity,Year,Away Team Wins,Home Team Wins,Time,International
BUF,1,0.9708272818679478,2013,0,0,0,0
CAR,1,0.9789894078833131,2013,0,0,0,0
CHI,1,1.0115934959349593,2013,0,0,0,0
CLE,1,1.0605359552727973,2013,0,0,0,0
DAL,1,1.06685,2013,0,0,0,0
DEN,1,1.011192118226601,2013,0,0,0,0
DET,1,0.9609384615384615,2013,0,0,0,0
IND,1,0.9762985074626865,2013,0,0,0,0
JAX,1,0.8758512927857542,2013,0,0,0,0
LAC,1,0.8435538045095733,2013,0,0,0,0
LAR,1,0.837560606060606,2013,0,0,0,0
NO,1,0.9882526499836084,2013,0,0,0,0
NYJ,1,0.9328121212121212,2013,0,0,0,0
PIT,1,0.9003654970760234,2013,0,0,0,0
SF,1,1.0,2013,0,0,0,0
WAS,1,0.9734470588235294,2013,0,0,0,0
ARI,2,0.9469085173501577,2013,1,0,0,0
ATL,2,0.9835457965968439,2013,1,0,0,0
BAL,2,1.0012674628210905,2013,0,0,0,0
BUF,2,0.9470869176628309,2013,0,0,0,0
CHI,2,1.0110731707317073,2013,0,1,0,0
CIN,2,0.9858047775318629,2013,0,0,0,0
GB,2,0.9579941307203989,2013,0,0,0,0
HOU,2,0.9930490168928274,2013,1,1,0,0
IND,2,0.9762089552238806,2013,1,1,0,0
KC,2,1.0070142378559463,2013,1,1,0,0
LV,2,0.8812458747346451,2013,0,0,0,0
NE,2,1.0288347872929418,2013,1,1,0,0
NYG,2,0.9852727272727273,2013,1,0,0,0
PHI,2,0.9935053738720616,2013,0,1,0,0
SEA,2,0.9904057971014493,2013,1,1,0,0
TB,2,0.879395532953856,2013,1,0,0,0
BAL,3,1.0022532672374944,2013,2,1,0,0
CAR,3,0.9850534948642259,2013,0,0,0,0
CIN,3,0.9865374341753796,2013,1,1,0,0
DAL,3,1.0106,2013,1,1,0,0
DEN,3,1.0112052545155994,2013,1,2,0,0
MIA,3,1.0816520221657533,2013,1,2,0,0
MIN,3,0.9929976138862463,2013,0,0,0,0
NE,3,1.0288347872929418,2013,0,2,0,0
NO,3,0.9979373838924708,2013,1,2,0,0
NYJ,3,0.9328121212121212,2013,1,1,0,0
PHI,3,0.9935053738720616,2013,2,1,0,0
PIT,3,0.9002192982456141,2013,2,0,0,0
SEA,3,0.986768115942029,2013,0,2,0,0
SF,3,1.0,2013,1,1,0,0
TEN,3,1.0,2013,1,1,0,0
WAS,3,0.9424823529411764,2013,1,0,0,0
ATL,4,0.9932049194137137,2013,3,1,0,0
BUF,4,0.9537481845603843,2013,2,1,0,0
CLE,4,1.0600613960937848,2013,2,1,0,0
DEN,4,1.01152052545156,2013,1,3,0,0
DET,4,0.9931076923076924,2013,3,2,0,0
HOU,4,0.9935751869288286,2013,3,2,0,0
JAX,4,0.8799640319584894,2013,2,0,0,0
KC,4,0.9603486180904522,2013,0,3,0,0
LAC,4,0.9722226158926319,2013,2,1,0,0
LAR,4,0.8581818181818182,2013,1,1,0,0
LV,4,0.9552598248211642,2013,0,1,0,0
MIN,4,0.971139534883721,2013,0,0,0,1
NO,4,0.9987706261610753,2013,3,3,0,0
TB,4,0.6494842382039354,2013,1,0,0,0
TEN,4,1.0,2013,2,2,0,0
ARI,5,0.9530914826498422,2013,1,2,0,0
ATL,5,0.9862132869096423,2013,2,1,0,0
CHI,5,1.014,2013,4,3,0,0
CIN,5,0.9808288178279784,2013,4,2,0,0
CLE,5,1.0564725423025019,2013,2,2,0,0
DAL,5,1.159475,2013,4,2,0,0
GB,5,0.9602043196915558,2013,3,1,0,0
IND,5,0.9941492537313433,2013,4,3,0,0
LAR,5,0.8222121212121212,2013,0,1,0,0
LV,5,0.8711490090443655,2013,2,1,0,0
MIA,5,1.0461684474787987,2013,2,3,0,0
NYG,5,0.9786424242424242,2013,1,0,0,0
SF,5,1.0,2013,2,2,0,0
TEN,5,1.0,2013,4,3,0,0
BAL,6,1.0043797881928798,2013,2,3,0,0
BUF,6,0.9459697240531784,2013,3,2,0,0
CHI,6,1.0142113821138212,2013,0,3,0,0
CLE,6,1.0605359552727973,2013,3,3,0,0
DAL,6,1.1279875,2013,1,2,0,0
DEN,6,1.00968144499179,2013,0,5,0,0
HOU,6,0.9845472168374412,2013,2,2,0,0
KC,6,0.9997121021775545,2013,2,5,0,0
LAC,6,0.8213318972236788,2013,4,2,0,0
MIN,6,0.9975359086726657,2013,1,1,0,0
NE,6,1.0288347872929418,2013,5,4,0,0
NYJ,6,0.9328121212121212,2013,0,3,0,0
SEA,6,0.9873478260869565,2013,3,4,0,0
SF,6,1.0,2013,3,3,0,0
TB,6,0.9030165563870669,2013,2,0,0,0
